"","state","b0","b1","ucb","curr.r","curr.emp.r","current.rt"
"1","Alabama",0.758545864312151,-0.0243910808404222,1.2286298525961,0.95469839663651,0.917802794172144,0.95469839663651
"2","Alaska",0.797114303783236,-0.0400984815128939,0.838969969854034,0.590883983570172,0.373414838910473,0.590883983570172
"3","Arizona",0.836482394002936,-0.0265740392590305,1.32278853561311,0.960346711850016,1.30831469835869,0.960346711850016
"4","Arkansas",1.10075678858543,-0.0295565665436207,2.76483932683131,1.13359057217323,1.3424258358437,1.13359057217323
"5","California",0.531162360764987,-0.0124947212720137,1.40941339525248,1.12618583806791,1.08660890267318,1.12618583806791
"6","Colorado",0.391812703109855,-0.00565437303535647,1.93171473813983,1.22779317705066,2.3057005402521,1.22779317705066
"7","Connecticut",0.896098357907796,-0.0274838569941809,1.40900041503979,0.989189930425261,0.792988383385022,0.989189930425261
"8","Delaware",0.77593572096311,-0.0204803270341635,1.52573526636853,1.10526478294084,0.802669954735856,1.10526478294084
"9","District of Columbia",0.229973637303724,0.000173774944796831,1.64267716506071,1.26580490767175,1.15936802564415,1.26580490767175
"10","Florida",0.702486349331921,-0.0251885841340306,1.13656646513623,0.879205230201956,1.05448145919292,0.879205230201956
"11","Georgia",0.735385477483181,-0.0238795696303323,1.34734044485823,0.948721186856875,0.646503862474049,0.948721186856875
"12","Guam",-0.234684422247672,0.0221031318713749,4.0699278623914,1.64003720820349,4.71030706983387,1.64003720820349
"13","Hawaii",0.529849796572495,-0.0290024018785636,1.14676850420951,0.652313851581003,0.564509711968776,0.652313851581003
"14","Idaho",0.96640016295378,-0.0361611947334633,1.34898513239329,0.796985125681107,0.925338979825458,0.796985125681107
"15","Illinois",0.596101780980637,-0.0139704073516537,1.64160701599769,1.14462644901639,1.77081324923124,1.14462644901639
"16","Indiana",0.899436820146286,-0.0298760951432628,1.17833766639315,0.917159101511944,1.31821538193641,0.917159101511944
"17","Iowa",0.49111215398391,-0.003813227743623,1.80271066971224,1.44091112391716,1.95065306383471,1.44091112391716
"18","Kansas",0.564815632768093,-0.00686070304372421,1.90834150190075,1.40271891074213,1.67671768834536,1.40271891074213
"19","Kentucky",0.922609811100612,-0.0257516445299931,2.18317786231057,1.07552137242488,1.9120853804768,1.07552137242488
"20","Louisiana",0.92993911150255,-0.0394201192289653,0.984543322082003,0.690095818905367,0.882617083892671,0.690095818905367
"21","Maine",0.414925157685034,-0.0142866614699846,1.37384933707123,0.945033718828973,1.40826650352929,0.945033718828973
"22","Maryland",0.795214403506094,-0.0225753631366985,1.27101829264046,1.05151020363141,1.28342458904156,1.05151020363141
"23","Massachusetts",0.834616841924115,-0.0211387788001047,1.54346867501373,1.1468707442528,2.55486495116168,1.1468707442528
"24","Michigan",0.763867289841608,-0.026383552676214,1.13979011347208,0.898714429503162,1.50449533538351,0.898714429503162
"25","Minnesota",0.382392571474739,-0.00332405330925427,1.94734466481896,1.31350457378032,1.70011658572013,1.31350457378032
"26","Mississippi",0.529519343434669,-0.0128985728784948,1.38516488675264,1.10945226484913,1.25017192504547,1.10945226484913
"27","Missouri",1.16295153023789,-0.0429266000678648,1.19089699410635,0.775981753969192,1.45591134588823,0.775981753969192
"28","Montana",0.668399345964604,-0.0402682450724047,0.699428813764106,0.516617387444893,0.497107440149544,0.516617387444893
"29","Nebraska",0.255052815176159,0.0122874308697068,3.03306520908211,1.93583359831441,1.41311534237736,1.93583359831441
"30","Nevada",0.650859859896867,-0.0224076523213833,1.30444190712659,0.915218296538974,1.02018647765156,0.915218296538974
"31","New Hampshire",0.491675214177374,-0.0112786628035634,2.04036614685661,1.12690996373731,0.874159215357507,1.12690996373731
"32","New Jersey",0.937911803354957,-0.0328614651067895,1.09722523567461,0.863711441964687,0.79776532858406,0.863711441964687
"33","New Mexico",0.708722860847834,-0.0168465836554155,1.9756711517628,1.16507516030409,1.25147316821278,1.16507516030409
"34","New York",0.653401509185877,-0.0284451044400215,0.945315075656466,0.751798504308339,1.31467622456385,0.751798504308339
"35","North Carolina",0.55612744671484,-0.0146761376190328,1.29681570545212,1.07445644944881,1.55229587035121,1.07445644944881
"36","North Dakota",0.336525623665601,0.000818003266888506,2.52278146259551,1.43838323804518,0.891927691352309,1.43838323804518
