"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.483599909777262,-0.00612960816861271,1.28413536868499,1.06253434515205,0.693584377678562,328,1.06253434515205
"2","Alaska",0.212149571764768,0.000804964996421229,2.43194043660734,1.30694474365968,1.18798043035616,4,1.30694474365968
"3","Arizona",0.553921409704685,-0.00727172311244021,1.30718652531951,1.0535574812489,1.99358081374079,786,1.0535574812489
"4","Arkansas",0.801245730204311,-0.0117782513560695,1.76419569230493,0.988611729556284,1.46469688463713,233,0.988611729556284
"5","California",0.384062608883359,-0.00443142614179618,1.25111810598084,1.08144077726313,1.39869337665859,3273,1.08144077726313
"6","Colorado",0.34524757855513,-0.00481785372161424,1.28607149830033,1.01289814442272,1.6227583822891,486,1.01289814442272
"7","Connecticut",0.682277921416845,-0.0141379245478689,0.922716889113561,0.745843957890706,0.852669493414256,257,0.745843957890706
"8","Delaware",0.636410997153678,-0.0112865312079654,1.10711521932648,0.867309267233092,1.66214836723566,185,0.867309267233092
"9","District of Columbia",0.303270855888174,-0.00438063598052304,1.20009766586222,1.00100748039985,1.75291069847045,179,1.00100748039985
"10","Florida",0.405653550240889,-0.00610681377977258,1.18107833473777,0.984406260707258,1.32461029826271,926,0.984406260707258
"11","Georgia",0.454705560892266,-0.00653684777836785,1.24558385280086,1.00366978140386,0.322226920346851,273,1.00366978140386
"12","Guam",-0.10524129083192,0.0103052704292409,4.86654296418357,1.83275879294005,0,0,1.83275879294005
"13","Hawaii",0.037261137276872,0.000813217880710923,1.683060102695,1.09787135263561,2.03188116426386,2,1.09787135263561
"14","Idaho",0.564243404950846,-0.00903151000522069,1.44673861700538,0.942772020478346,1.11682361121699,34,0.942772020478346
"15","Illinois",0.529337240654133,-0.0090400554487158,1.09718539563123,0.909894531801534,0.888251987149021,1507,0.909894531801534
"16","Indiana",0.61741062619398,-0.0104480639557627,1.06933829387562,0.90167080497994,1.44834499176834,653,0.90167080497994
"17","Iowa",0.557229371664814,-0.00835912599336878,1.14547075733442,0.980639546323762,0.800821829485841,282,0.980639546323762
"18","Kansas",0.593966409418931,-0.0100636647862086,1.17058032192666,0.904451622589307,0.256824401318242,28,0.904451622589307
"19","Kentucky",0.647667188497654,-0.0094245279342587,1.54644170021782,0.997378203960125,1.71645201324097,259,0.997378203960125
"20","Louisiana",0.500247051508938,-0.00839492242800086,1.26309968570695,0.924037525619192,2.20834284630418,775,0.924037525619192
"21","Maine",0.248148128555997,-0.00188597917352023,1.43586701681168,1.12526162658438,1.40283813026896,56,1.12526162658438
"22","Maryland",0.587367070672025,-0.00898389450559561,1.11167530885578,0.96800149216491,1.13641144139631,1027,0.96800149216491
"23","Massachusetts",0.692344341700998,-0.0139648390137831,0.901939440598355,0.762441457688493,1.11502747775094,742,0.762441457688493
"24","Michigan",0.494555053220371,-0.0093821417784121,1.03670452170122,0.858290439250338,0.928201003609442,348,0.858290439250338
"25","Minnesota",0.446559736521803,-0.00472258455831321,1.37645551021528,1.12828795753324,1.0128967886162,639,1.12828795753324
"26","Mississippi",0.383956071305366,-0.00445681584640215,1.25690506202553,1.0794328646696,1.43766486453052,436,1.0794328646696
"27","Missouri",0.752482396242413,-0.0133576053618275,1.14047385799488,0.844346457689248,1.16215638864345,214,0.844346457689248
"28","Montana",-0.0747047653917943,0.00899917284527497,2.80132890122466,1.72674504759353,6.25750833518389,12,1.72674504759353
"29","Nebraska",0.549561572117914,-0.00691282623847567,1.39175092963557,1.07527512779084,0.906341164521328,247,1.07527512779084
"30","Nevada",0.403501786259002,-0.00610149077575143,1.31614170942179,0.982651177085986,1.168798200134,141,0.982651177085986
"31","New Hampshire",0.425414808464369,-0.00666889505680294,1.31109492939409,0.965857520016451,0,0,0.965857520016451
"32","New Jersey",0.610620385044568,-0.0122938452532937,0.957658152589367,0.788474717268239,0.989511472723938,818,0.788474717268239
"33","New Mexico",0.586679774608492,-0.00966551074377916,1.23593967294839,0.922894394320889,1.05298917198722,123,0.922894394320889
"34","New York",0.349617854652286,-0.00791713354147917,0.961094471713182,0.821466304235698,0.966036030752495,1376,0.821466304235698
"35","North Carolina",0.385056339410495,-0.00377252680952911,1.35414889963668,1.13286745525909,1.33094433944721,909,1.13286745525909
"36","North Dakota",0.45495100742911,-0.00645651070689,1.37915566699854,1.00949657768263,0.91390372584237,34,1.00949657768263
"37","Ohio",0.52890454475092,-0.00844440539201848,1.0987912924573,0.947660060221906,0.876196070462293,467,0.947660060221906
"38","Oklahoma",0.594500271021224,-0.0107041325319351,1.07468467136546,0.865814260096209,1.0781226454643,80,0.865814260096209
"39","Oregon",0.25748372785095,-0.0036712984233556,1.23419113466347,1.00417281870331,1.37149971857384,54,1.00417281870331
"40","Pennsylvania",0.670414995531025,-0.0127485843621415,0.942694664306499,0.81120269374697,1.01080227227247,713,0.81120269374697
"41","Puerto Rico",0.597085182325887,-0.00834618207431897,1.37111168312286,1.02142490608701,0.851476127076725,71,1.02142490608701
"42","Rhode Island",0.589645265150281,-0.00362157521758094,3.71920961720144,1.40460563301129,0,0,1.40460563301129
"43","South Carolina",0.438593709845242,-0.00583199718158734,1.32322143959987,1.03684858320144,1.28667983687744,263,1.03684858320144
"44","South Dakota",0.632832644990119,-0.00932228524847604,1.30292978901806,0.989648907981865,1.2921970094515,94,0.989648907981865
"45","Tennessee",0.326502014518483,-0.00355751292689051,1.41155024435625,1.08440735650852,1.23349060566428,478,1.08440735650852
"46","Texas",0.462745059993444,-0.0065346501179992,1.16935179880172,1.01192474135655,1.66901887897252,1774,1.01192474135655
"47","Utah",0.433026478498976,-0.0054961596869415,1.35178636122663,1.05526451445104,1.68500459092487,269,1.05526451445104
"48","Vermont",0.320898180333285,-0.00635373330194744,1.29190549233939,0.88913213830414,0.560844043713208,2,0.88913213830414
"49","Virginia",0.512216552971042,-0.00665795881220475,1.19321450363871,1.05423711849776,0.970226500052781,1078,1.05423711849776
"50","Washington",0.0229987151250983,0.0017077509659868,1.39243677289618,1.15123298832411,1.10258726289344,275,1.15123298832411
"51","West Virginia",0.520090337072671,-0.00692695133048651,1.49243731866562,1.04303078903267,0.845726619226007,38,1.04303078903267
"52","Wisconsin",0.226149096416617,-0.000429674706697101,1.4116751333793,1.21713719728181,1.14458797928401,523,1.21713719728181
"53","Wyoming",0.352596831816448,-0.00404363194772664,2.00560578429797,1.07636134453583,0.616796010404394,7,1.07636134453583
