"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.51753877502099,-0.00783436667370831,1.2831605951011,1.04043865504513,1.19943315869786,382,1.04043865504513
"2","Alaska",0.283288319560529,-0.00277603370888638,2.27863255761561,1.12069638377883,0.690980605755914,2,1.12069638377883
"3","Arizona",0.638995805593101,-0.0113098103675284,1.17774483294139,0.950371206687836,0.752270269238223,276,0.950371206687836
"4","Arkansas",0.832979902179641,-0.013347353383545,1.94061563239926,1.01896901425324,1.19335561393077,161,1.01896901425324
"5","California",0.427598073215634,-0.00646774555823178,1.20862545007109,1.03361833634788,1.18786643339309,2221,1.03361833634788
"6","Colorado",0.405651872162587,-0.00754119546099858,1.21984468598584,0.947090096976945,0.906074053218762,293,0.947090096976945
"7","Connecticut",0.691424655677165,-0.0145936392639352,1.03436303310184,0.819724197819406,0.790102360139813,438,0.819724197819406
"8","Delaware",0.642828467847478,-0.0115289655402413,1.20657750273381,0.941351726159008,0.794296157999866,136,0.941351726159008
"9","District of Columbia",0.279216043951716,-0.00324826717319222,1.3110712229747,1.08444869905174,0.736719383820533,105,1.08444869905174
"10","Florida",0.44085941774897,-0.00775636495634063,1.17478505420797,0.968236556909806,1.04761110592444,774,0.968236556909806
"11","Georgia",0.492008363578505,-0.00843590463272266,1.23930232519964,0.977671241820291,1.56863406216398,787,0.977671241820291
"12","Guam",-0.252248326376454,0.0173124661799955,5.60487432246821,2.23404112822088,0,0,2.23404112822088
"13","Hawaii",0.130216977858657,-0.0035415182810439,1.42776295714676,0.917763416979161,0,0,0.917763416979161
"14","Idaho",0.597554885295417,-0.0105963000271663,1.47770453267822,0.952353093557664,3.42098717064021,89,0.952353093557664
"15","Illinois",0.519952913599199,-0.00862682537530711,1.22418918681906,0.993736265196983,1.27892506314341,2735,0.993736265196983
"16","Indiana",0.668069798205973,-0.0128220853482057,1.06412355483674,0.892188890620846,0.890334209289353,473,0.892188890620846
"17","Iowa",0.570673701480662,-0.00897144812980444,1.20238487415968,1.02369165751267,0.948922774530979,330,1.02369165751267
"18","Kansas",0.603485355529981,-0.0103584331583531,1.24441077635548,0.972019836187564,1.9712304188128,284,0.972019836187564
"19","Kentucky",0.758244550008593,-0.014624341663827,1.37411828303435,0.874729755238511,0.901832406516678,140,0.874729755238511
"20","Louisiana",0.507865887954144,-0.0086377688917066,1.35913735886258,0.981142063967793,0.973839595461906,396,0.981142063967793
