"","state","b0","b1","ucb","curr.r","curr.emp.r","current.rt"
"1","Alabama",0.831669212969401,-0.0371741398019083,1.14589612614001,0.841951757356663,0.628437231635534,0.841951757356663
"2","Alaska",0.815995655364688,-0.0489985031758638,0.899635782930898,0.60232149559653,0.56866437169474,0.60232149559653
"3","Arizona",0.887036426306826,-0.0376079533085935,1.30842088722649,0.879520582105746,1.20333837030133,0.879520582105746
"4","Arkansas",1.36045098915963,-0.0664071987464596,1.47919682435316,0.648856707070014,0.680481301706842,0.648856707070014
"5","California",0.599851871536484,-0.0260189452378769,1.1555389540089,0.902434064755921,1.11474199054914,0.902434064755921
"6","Colorado",0.479902904689083,-0.0208454041650537,1.57957322968196,0.920422009837656,1.11115797488259,0.920422009837656
"7","Connecticut",0.969958371975851,-0.0402722566311302,1.29817310600644,0.889236048745251,0.806817614211963,0.889236048745251
"8","Delaware",0.746697302893094,-0.0225077257419235,1.66195628713957,1.14911112400799,1.61494901347473,1.14911112400799
"9","District of Columbia",0.576923023467337,-0.0187762151164229,1.37747540448368,1.07247087505338,1.59279949338319,1.07247087505338
"10","Florida",0.752406406448054,-0.0358084013792302,1.08414975307126,0.807009022246703,0.743578580738267,0.807009022246703
"11","Georgia",0.686485767032521,-0.0245041503903344,1.58501836993962,1.02518563805915,0.53456297697408,1.02518563805915
"12","Guam",0.534285773854698,-0.0618026833141613,0.730830464653449,0.32161931782174,0,0.32161931782174
"13","Hawaii",0.306369451324245,-0.014608643228258,1.77553998651895,0.915702346969331,2.82940491539618,0.915702346969331
"14","Idaho",1.09718243180297,-0.0553253616336314,1.30012168110919,0.672601444323213,1.13610633994141,0.672601444323213
"15","Illinois",0.643080463343842,-0.0238215905001849,1.58142751475528,0.999897525089762,1.1231780217114,0.999897525089762
"16","Indiana",0.968234960062668,-0.0421617269702869,1.12638528312663,0.843553740136127,1.09520342299032,0.843553740136127
"17","Iowa",0.518925291799658,-0.0131395062560431,1.42182031842171,1.17840122167173,1.35669787520538,1.17840122167173
"18","Kansas",0.71747914098293,-0.0285741266238194,1.29876458179992,0.947410999976891,1.1964822613901,0.947410999976891
"19","Kentucky",0.937981505681306,-0.0322504899849078,2.69302077106076,1.06952890528419,1.26377514053551,1.06952890528419
"20","Louisiana",1.09132104748782,-0.061627862897327,0.867901040098255,0.564039355456686,0.799078229697613,0.564039355456686
"21","Maine",0.374718420903812,-0.0163676012198395,1.46751448696126,0.935001811715347,0.574358225362793,0.935001811715347
"22","Maryland",0.804739931881265,-0.0282561227586748,1.30745720571841,1.04271158924076,1.15043971120171,1.04271158924076
"23","Massachusetts",0.969947880606583,-0.0391857049757321,1.14086481827764,0.915700297721834,1.11458913630981,0.915700297721834
"24","Michigan",0.918494878240437,-0.047425902765662,0.833242453557379,0.696279237062185,0.691832167388291,0.696279237062185
"25","Minnesota",0.355640941931403,-0.00699895811997264,1.97421540628757,1.18136325525231,1.4885428975056,1.18136325525231
"26","Mississippi",0.517444460724931,-0.0180395796535622,1.36702899379728,1.03084186192939,0.934848293135287,1.03084186192939
"27","Missouri",1.3065245730079,-0.0635305852862516,1.09189161948948,0.664446291371865,0.943742904132004,0.664446291371865
"28","Montana",0.673246998620197,-0.0482660590688592,0.759393743860962,0.5326255704007,0.482963062741956,0.5326255704007
"29","Nebraska",0.225300933245357,0.00845624135467219,2.72140397005085,1.57399889792697,4.13082295695043,1.57399889792697
"30","Nevada",0.696751323097407,-0.0330819916040835,1.29192173752711,0.821632182829598,1.32686966570557,0.821632182829598
"31","New Hampshire",0.355685197858889,-0.00394801936439833,2.65613834901671,1.28285578528884,0.800218337120328,1.28285578528884
"32","New Jersey",1.03121416027522,-0.0477294714292157,0.967042153315658,0.772995873799714,0.852848445728875,0.772995873799714
"33","New Mexico",0.732918225922509,-0.0241876971935048,2.06930688830133,1.08312502189012,2.42902622214561,1.08312502189012
"34","New York",0.583105475113391,-0.0276913239121342,1.05849796861701,0.848266629937636,1.27926871382121,0.848266629937636
"35","North Carolina",0.573644370742344,-0.0223004786192568,1.21410065717659,0.971932859031863,1.01929234215863,0.971932859031863
"36","North Dakota",0.140096437470694,0.0136562373764139,3.05678639079125,1.66331873854316,6.76777157229467,1.66331873854316
"37","Ohio",0.575099739447448,-0.0143819088638949,1.55298411892293,1.2053719603782,2.43527341136879,1.2053719603782
"38","Oklahoma",1.18836680831816,-0.0708146082347898,0.702578062303032,0.484989705510648,0,0.484989705510648
"39","Oregon",0.424659302374778,-0.0228865929742149,1.33802461656894,0.824252216494703,0.939131441091784,0.824252216494703
"40","Pennsylvania",1.06429149061023,-0.0460897602762703,0.99350617646762,0.83515993224505,1.25170892043402,0.83515993224505
"41","Puerto Rico",1.05230448151587,-0.0493267567416546,1.16735583631914,0.756148154449241,1.06691047483654,0.756148154449241
"42","Rhode Island",0.524946529674881,0.000894870359491426,4.29484872537682,1.73170769639356,0,1.73170769639356
"43","South Carolina",0.782768383265149,-0.0363010707047343,1.28279297941847,0.820894626295563,0.956537481376678,0.820894626295563
"44","South Dakota",0.658675445988596,-0.00874223212982274,2.07379046329168,1.52597748498392,1.04430872233974,1.52597748498392
"45","Tennessee",0.392390149003283,-0.0164180553429964,1.52931715898935,0.950376226151729,2.54496888906053,0.950376226151729
"46","Texas",0.704204031475701,-0.0286651109460073,1.09669955008724,0.932623250512751,1.0329338087238,0.932623250512751
"47","Utah",0.7318907664053,-0.0339203533964481,1.37386643345965,0.831970100838539,1.21838739039977,0.831970100838539
