"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.371879418908234,-0.00210812379475479,1.34485461046333,1.15268490970555,1.92475618844873,2164,1.15268490970555
"2","Alaska",0.227848852906538,0.00086612129462803,2.083427144533,1.38023817384641,1.33960941835578,46,1.38023817384641
"3","Arizona",0.442045689466923,-0.00258642400044579,1.38486755066653,1.17365812465026,1.14241180842288,4057,1.17365812465026
"4","Arkansas",0.660178143427547,-0.00598986883844891,1.50779760343727,1.00730902148983,1.58293381205836,816,1.00730902148983
"5","California",0.285588303152613,-0.00106051522937566,1.32864764601833,1.18529553859532,1.27933198621501,9924,1.18529553859532
"6","Colorado",0.239328385077984,-0.00158915062726807,1.26830983109327,1.06834526134291,1.44684556973421,408,1.06834526134291
"7","Connecticut",0.445251494658032,-0.00550838610997474,1.06710109123192,0.856275943121004,1.30628828858009,102,0.856275943121004
"8","Delaware",0.429180423620002,-0.00408826209524529,1.19828410854978,0.983694256882718,0.569043429769932,68,0.983694256882718
"9","District of Columbia",0.222399821004976,-0.00210969582851436,1.14212449696533,0.992471458212223,0.985609543129223,37,0.992471458212223
"10","Florida",0.251516479123473,0.00000466520055979773,1.47992675981059,1.28662818455509,1.00816019149013,8924,1.28662818455509
"11","Georgia",0.309237328668041,-0.00130863298282549,1.39050782521838,1.18127732701604,0.977725938377937,2785,1.18127732701604
"12","Guam",0.062688094627277,0.00467238240925861,3.71445324260419,1.77176775041632,0.348495084194143,2,1.77176775041632
"13","Hawaii",-0.0307967965796734,0.00435025633126367,2.20202622536782,1.55796602986222,1.58203162417979,36,1.55796602986222
"14","Idaho",0.359968124989101,-0.000926537825567951,1.79713572944473,1.29560206478273,1.24659644311196,460,1.29560206478273
"15","Illinois",0.372785940857641,-0.0039188898993237,1.10530926589183,0.947078725135234,1.29725665395209,1018,0.947078725135234
"16","Indiana",0.453494024700511,-0.00463322453383605,1.09078041676108,0.949777578696493,1.16713340534935,512,0.949777578696493
"17","Iowa",0.414770220343722,-0.00349690719771096,1.19697567853671,1.03417844213255,1.48638074680379,628,1.03417844213255
"18","Kansas",0.381942308780183,-0.00249650467232638,1.36011332045646,1.11608084098768,1.27535884632711,453,1.11608084098768
"19","Kentucky",0.489058924393947,-0.00394688275410421,1.46774067173242,1.06061476203805,1.12066980361945,323,1.06061476203805
"20","Louisiana",0.319468394819307,-0.00158020373895206,1.45718896866741,1.15861599758786,1.31238841198743,1843,1.15861599758786
"21","Maine",0.254772676781101,-0.00221691641166487,1.21081729521604,1.01321534884419,1.05192322705026,25,1.01321534884419
"22","Maryland",0.462151394446126,-0.00501944577464165,1.02622393949107,0.918541498158588,1.46547527681991,586,0.918541498158588
"23","Massachusetts",0.470954126278076,-0.00564758582543444,1.08129939710368,0.865340049325608,1.41596302789717,296,0.865340049325608
"24","Michigan",0.297323327023314,-0.000874865984192716,2.23185102100529,1.22380264671513,1.1113304180508,511,1.22380264671513
"25","Minnesota",0.390123709271219,-0.0032657487881303,1.19767212019143,1.03474714380247,1.42352847526719,577,1.03474714380247
"26","Mississippi",0.276324243309489,-0.000788695894094434,1.57884379943694,1.20968063995829,1.04609175266158,703,1.20968063995829
"27","Missouri",0.516206043123674,-0.00414762845071918,1.42727247965457,1.06621451810578,1.55531895472313,820,1.06621451810578
"28","Montana",0.0370547898847357,0.00463929832030243,2.46065963637487,1.7207122549047,1.89326871392922,95,1.7207122549047
"29","Nebraska",0.463633813264834,-0.00444953965715565,1.17285834277779,0.978860626839395,1.25505870522715,198,0.978860626839395
"30","Nevada",0.257987228671685,-0.00047440681734182,1.54826257422114,1.22909347514654,0.813173795646131,603,1.22909347514654
"31","New Hampshire",0.353116240726621,-0.00417918888308052,1.13518642678932,0.90265455845748,0.993616111111079,21,0.90265455845748
"32","New Jersey",0.425162633723915,-0.00559626321755621,0.974467429185577,0.831245536218073,0.757080977185142,222,0.831245536218073
"33","New Mexico",0.402415104163103,-0.00312562397998127,1.30991588147271,1.06366670040314,1.00128297269333,233,1.06366670040314
"34","New York",0.200550058146458,-0.00258619755095287,1.04156802368925,0.921875151691361,0.899592115214777,584,0.921875151691361
"35","North Carolina",0.341483298250688,-0.00214640894559113,1.29284540499286,1.11351839012322,1.2575977221364,1969,1.11351839012322
"36","North Dakota",0.316906358242066,-0.00193956393202994,1.37597435913389,1.11125931431965,2.03856926588076,100,1.11125931431965
"37","Ohio",0.362301159250036,-0.0026208950710598,1.23356178771633,1.07963562128014,1.10159212104295,1150,1.07963562128014
"38","Oklahoma",0.373278992819436,-0.00186646470344152,1.41291083575901,1.18510851015312,1.16778032256175,603,1.18510851015312
"39","Oregon",0.153228501831109,0.000710499972210544,1.56026644822799,1.25944733131959,1.41332482534786,371,1.25944733131959
"40","Pennsylvania",0.446998274711343,-0.00457679569119129,1.08244498282258,0.949449956118515,1.20640571934764,817,0.949449956118515
"41","Puerto Rico",0.45997752839877,-0.00332974607279904,1.47368901456573,1.10189916691111,0.606430508599755,117,1.10189916691111
"42","Rhode Island",0.592611648519586,-0.00187628166335815,4.30041311024862,1.47417269429567,0,0,1.47417269429567
"43","South Carolina",0.331867614869894,-0.00133184904424271,1.47506876879491,1.20526091327943,1.14494039885167,1782,1.20526091327943
"44","South Dakota",0.50102889768425,-0.00488821294623976,1.1673183722819,0.968713561017195,1.66588226959888,94,0.968713561017195
"45","Tennessee",0.235124245885832,-0.000292550574644847,1.52721231651236,1.22536190528358,1.15184704568284,1598,1.22536190528358
"46","Texas",0.313694160402429,-0.000942153350079961,1.38215463665923,1.23491166998619,1.54006323681232,11612,1.23491166998619
"47","Utah",0.351088486450086,-0.00223275956777967,1.3216880971546,1.11373328692473,1.07323362634531,601,1.11373328692473
"48","Vermont",0.186608151910663,0.00000662357230613793,1.77433730762152,1.20602535398888,2.66426237817079,16,1.20602535398888
"49","Virginia",0.433956547411353,-0.00436770170759274,1.07019071684523,0.958751905598453,1.05358890291077,613,0.958751905598453
"50","Washington",0.0213129363218608,0.00176441032496963,1.4160657264736,1.23816898303343,0.980579745636016,632,1.23816898303343
"51","West Virginia",0.357894127296786,-0.00164285363594528,1.52309944048142,1.19580916406526,1.22025522030854,119,1.19580916406526
"52","Wisconsin",0.217452196409574,-0.000717072447732497,1.28768911918747,1.14945888816148,1.33830030695567,754,1.14945888816148
"53","Wyoming",0.264292248510636,-0.00082235479969961,1.77841125573414,1.19083599269292,0.908827214823199,29,1.19083599269292
