"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.494797079440467,-0.00661133950918506,1.22582664584801,1.01895810013024,0.500762460196686,228,1.01895810013024
"2","Alaska",0.148701081874134,0.00403266689423311,2.74297098065193,1.55123765321951,2.4186833559706,20,1.55123765321951
"3","Arizona",0.530831192893643,-0.00622168841133249,1.35160670686103,1.08640016236837,2.09480126388726,1135,1.08640016236837
"4","Arkansas",0.771971477793189,-0.0103608376450075,1.80360989007708,1.02633188320582,1.76639024081495,361,1.02633188320582
"5","California",0.384269137470645,-0.00444259295621521,1.22665154709097,1.06652152825981,0.960245330300175,2482,1.06652152825981
"6","Colorado",0.361078936012774,-0.00549565624959883,1.2152445828651,0.965983704501141,0.619478510367816,211,0.965983704501141
"7","Connecticut",0.631465409879037,-0.0118862012601994,0.999959652524903,0.799042549769004,0.871343887752674,225,0.799042549769004
"8","Delaware",0.627094804070989,-0.0108891530592526,1.07925598664835,0.854768833997663,0.816305514406727,82,0.854768833997663
"9","District of Columbia",0.331861293713481,-0.0055375684933151,1.1191110835729,0.935341441943972,0.309139034757281,29,0.935341441943972
"10","Florida",0.40429076206874,-0.00604194616309548,1.15464487436449,0.969737985829963,0.792533910581611,614,0.969737985829963
"11","Georgia",0.469643020139852,-0.00720052637800214,1.18027465067829,0.952376462004043,0.366524691406502,255,0.952376462004043
"12","Guam",-0.0678285237651113,0.00875570324053854,4.64979349588777,1.75519876963127,0,0,1.75519876963127
"13","Hawaii",0.0643268196147311,-0.00044916377934765,1.57544413355113,1.03250411106042,0.718662472942059,1,1.03250411106042
"14","Idaho",0.532453886738648,-0.00754704889838413,1.50417434197732,0.989125920982402,2.89391911780429,94,0.989125920982402
"15","Illinois",0.523898916307735,-0.0088151040031678,1.07221817912847,0.895127984114235,1.07822214010728,1560,0.895127984114235
"16","Indiana",0.621250701576866,-0.0106220857509803,1.02073327152478,0.866286605019793,0.870862585723137,407,0.866286605019793
"17","Iowa",0.564413798750286,-0.00866017635595363,1.09695534561195,0.942594689042842,0.993044529019984,318,0.942594689042842
"18","Kansas",0.589712338029149,-0.00988856041736114,1.14991157292628,0.884914709538849,0.40579075221045,45,0.884914709538849
"19","Kentucky",0.645027286364537,-0.00931968180109309,1.4930189962836,0.974345024648208,0.799331345490453,146,0.974345024648208
"20","Louisiana",0.482139645426239,-0.00756380782810824,1.26479227839279,0.939455789984461,1.08838301243289,404,0.939455789984461
"21","Maine",0.262934636744194,-0.00250674372093245,1.37444912450715,1.08594338539104,0.692092941467828,28,1.08594338539104
"22","Maryland",0.593897889130731,-0.00926970702178817,1.06238513960396,0.929116618864495,0.899110474156593,848,0.929116618864495
"23","Massachusetts",0.575231095983322,-0.00858984355690918,1.29987406422138,0.957683778940799,0.420283512523848,379,0.957683778940799
"24","Michigan",0.502117542638972,-0.00970873746899121,0.989393487280539,0.821263266624759,0.482884805288848,189,0.821263266624759
"25","Minnesota",0.469158304616406,-0.00563122497822371,1.29161037493513,1.06578338996017,0.53586736902881,305,1.06578338996017
"26","Mississippi",0.393843280634158,-0.00488477728405187,1.20820655175336,1.04303978094945,0.86440748424065,289,1.04303978094945
"27","Missouri",0.713148936172899,-0.0114788382793086,1.2063794745495,0.892858272652219,1.58889250218717,291,0.892858272652219
"28","Montana",-0.0699633364980259,0.00877845153784069,2.80602562208802,1.75432676603909,0.683254900947207,4,1.75432676603909
"29","Nebraska",0.558353035088096,-0.00727328521782675,1.32615956605857,1.03528473939151,0.97740832820255,271,1.03528473939151
"30","Nevada",0.395826284845426,-0.00576989818717193,1.29780878267737,0.980584570511842,1.3536417084324,156,0.980584570511842
"31","New Hampshire",0.398414828447214,-0.00550222787841827,1.35799894328004,1.0022569643193,0.822557084872444,60,1.0022569643193
"32","New Jersey",0.609701422837401,-0.0122459537796433,0.918066499557408,0.761848738202108,0.59992579070635,509,0.761848738202108
"33","New Mexico",0.583367428710705,-0.00953075487108516,1.19461272006921,0.902265079837916,0.980032009537732,107,0.902265079837916
"34","New York",0.340543775812347,-0.00751531626241429,0.952013084970624,0.818273214506773,0.986720625716714,1329,0.818273214506773
"35","North Carolina",0.388885547154102,-0.00392592847213462,1.32322338171085,1.1120650553841,0.529198211793295,431,1.1120650553841
"36","North Dakota",0.451231680892984,-0.0063045849384633,1.34725002506837,0.997305202825888,0.650976747323349,21,0.997305202825888
"37","Ohio",0.527950623292548,-0.00839988235373029,1.067218646245,0.926037168682027,0.719795041339755,366,0.926037168682027
"38","Oklahoma",0.541778705903742,-0.00839113972730129,1.19399235083849,0.939522647546799,2.50941671094523,162,0.939522647546799
"39","Oregon",0.243495435256432,-0.0030541847786163,1.24993764311887,1.02387467475841,0.676343184784717,33,1.02387467475841
"40","Pennsylvania",0.665184579385757,-0.0125177331447087,0.912446750780563,0.789707853957233,0.879025885356621,579,0.789707853957233
"41","Puerto Rico",0.602749635113205,-0.00860106039056462,1.30581614699648,0.983609103882407,0.695677429411262,62,0.983609103882407
"42","Rhode Island",0.678419962208814,-0.00720245203056738,3.23859734134176,1.17332713236057,0,0,1.17332713236057
"43","South Carolina",0.410469926810964,-0.00453476603026545,1.38469058592236,1.08759275536356,0.981119335137909,267,1.08759275536356
"44","South Dakota",0.660522107224186,-0.0105098739143305,1.19204848337503,0.90829250098477,0.50021796355343,33,0.90829250098477
"45","Tennessee",0.279591071665754,-0.00161546321678314,1.6137063481015,1.17736362178115,4.86389110027052,1707,1.17736362178115
"46","Texas",0.438681216259221,-0.00546909509116619,1.20760281456056,1.04592992458635,1.30641022932503,1717,1.04592992458635
"47","Utah",0.42240828148625,-0.00500759088301228,1.35108026862425,1.06381524923899,0.923435594451867,203,1.06381524923899
"48","Vermont",0.295977573973354,-0.00518727913989244,1.32105174132458,0.925420986838899,1.65944713319981,5,0.925420986838899
"49","Virginia",0.522987870914354,-0.00711886530200957,1.13965132845788,1.01048414670122,0.778951014622074,841,1.01048414670122
"50","Washington",0.0249828566075895,0.00163053348354218,1.38488586030726,1.15301617224788,0.805533719933594,228,1.15301617224788
"51","West Virginia",0.542852092396878,-0.00796933942454127,1.37912844568687,0.969533407731973,0.759718168957001,28,0.969533407731973
"52","Wisconsin",0.267370125433447,-0.00216609898622188,1.30374138711747,1.11785424878975,0.83011959124344,374,1.11785424878975
"53","Wyoming",0.396937639618364,-0.00585892119934363,1.7856868913877,0.975402876431343,0.199846924872809,2,0.975402876431343
