"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.404357802008397,-0.00307165492897197,1.37368146718857,1.15049867419163,0.833998040862275,632,1.15049867419163
"2","Alaska",0.21155246685265,0.0014043421020931,2.326048920715,1.39420712934706,0.770200240324691,12,1.39420712934706
"3","Arizona",0.468028311227797,-0.00356516775754239,1.43276953050364,1.17518300461744,1.70314085614793,2341,1.17518300461744
"4","Arkansas",0.715095680353226,-0.00786276444236094,1.69733100380523,1.03966436833282,0.492362815826356,222,1.03966436833282
"5","California",0.356475912189152,-0.00335256510741799,1.20825054019679,1.07053156298411,1.03464228592057,3235,1.07053156298411
"6","Colorado",0.360779545948601,-0.00552261981775644,1.08286430944696,0.892110068907571,0.879953389518232,143,0.892110068907571
"7","Connecticut",0.572995211388932,-0.0096065165867649,0.95620389650324,0.776339608222736,0.689638622733425,116,0.776339608222736
"8","Delaware",0.565142685925678,-0.00864502827573018,1.03215605407872,0.836666490746893,1.14963977022578,61,0.836666490746893
"9","District of Columbia",0.326538042056871,-0.0052137230948643,1.03506546513292,0.885288105422537,0.328077325755783,19,0.885288105422537
"10","Florida",0.299042441395809,-0.0017178319343404,1.36833656225445,1.16335595747403,1.5402259646688,2783,1.16335595747403
"11","Georgia",0.40785328628847,-0.00464998282861739,1.21659658018435,1.00798648621581,0.942678569747769,745,1.00798648621581
"12","Guam",0.0342948658207831,0.00496576941047483,3.9258583480562,1.58621557093661,1.40724903269814,1,1.58621557093661
"13","Hawaii",-0.0709282669486347,0.00565175308442386,2.2849071041896,1.51455625991391,0,0,1.51455625991391
"14","Idaho",0.50368715828256,-0.0063004830652647,1.41238097868028,0.962564323608388,1.87871507305362,63,0.962564323608388
"15","Illinois",0.509402857224563,-0.00830538233391721,0.949292823344316,0.814761355878996,0.916048782719046,619,0.814761355878996
"16","Indiana",0.546142167301835,-0.00763774447258658,1.03986268416785,0.89520381771728,0.919012280142431,356,0.89520381771728
