"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.410107400671098,-0.00328375270263106,1.33751985370597,1.1250791740765,1.06971545049998,787,1.1250791740765
"2","Alaska",0.221013367601784,0.00106654955880497,2.25737608910732,1.37154285584763,0.965172645261451,13,1.37154285584763
"3","Arizona",0.443403818741943,-0.00266284752513256,1.49495685125088,1.2292575742872,2.05155277982812,3465,1.2292575742872
"4","Arkansas",0.709755700932855,-0.00766565566030695,1.65388470453394,1.02789430661006,1.48927111568893,605,1.02789430661006
"5","California",0.342249409218406,-0.0028518693575986,1.22983058463812,1.09246109502468,1.13354563387983,3776,1.09246109502468
"6","Colorado",0.314876427260436,-0.00393261424469111,1.17482936511703,0.965483525424473,1.64112313388137,286,0.965483525424473
"7","Connecticut",0.574384227805854,-0.00966175951583386,0.920058990678318,0.751629044143507,0.859133794635876,114,0.751629044143507
"8","Delaware",0.530018653299212,-0.00740625837462603,1.08331592318233,0.878852374902624,1.93010448168818,109,0.878852374902624
"9","District of Columbia",0.312179316559704,-0.00474178831518533,1.04415366896428,0.895977620453307,1.12619363458364,49,0.895977620453307
"10","Florida",0.280083906099127,-0.00102145873440893,1.41618370457282,1.20825126503077,1.64670024549068,3819,1.20825126503077
"11","Georgia",0.379295565936491,-0.00362515549957471,1.27328451149157,1.05829246425013,1.59991577431842,1358,1.05829246425013
"12","Guam",-0.0669407188769036,0.00830271800812592,4.46556677426323,1.95815202450847,5.58440024350643,8,1.95815202450847
"13","Hawaii",-0.091494769873292,0.00641521373371795,2.39449395354137,1.61520075011701,3.08148772008354,27,1.61520075011701
"14","Idaho",0.408974895351919,-0.00265816045261088,1.73946021107497,1.18815135386596,2.11113847445821,128,1.18815135386596
"15","Illinois",0.488309237205015,-0.00758298451150819,0.964834275416085,0.829795176190917,1.13313554394915,690,0.829795176190917
"16","Indiana",0.54319279522566,-0.00753356140454362,1.01886036702702,0.880474625471361,0.807092125527739,308,0.880474625471361
"17","Iowa",0.489478371651374,-0.00584464768680108,1.11562658300782,0.969771043985776,1.61192461975074,411,0.969771043985776
"18","Kansas",0.454730201487257,-0.00484268503635176,1.27869918187924,1.0240150597046,1.98225753032471,268,1.0240150597046
"19","Kentucky",0.581078606611987,-0.00682617943328539,1.39893146612312,0.973895410083002,1.56968975884467,254,0.973895410083002
"20","Louisiana",0.419546607752041,-0.00496195060894091,1.2678222874485,0.978174698629755,0.607178668132924,336,0.978174698629755
"21","Maine",0.264148091215501,-0.00257848419969252,1.26622210574122,1.03527076111097,1.32399984220502,36,1.03527076111097
"22","Maryland",0.576280422257971,-0.00858445785881389,0.930741731585298,0.82883321921873,0.711300153267519,319,0.82883321921873
"23","Massachusetts",0.594835976233149,-0.00964137221147168,1.0038358945314,0.768552694328416,0.9815673727926,240,0.768552694328416
"24","Michigan",0.312967160789467,-0.00138787519975353,2.56852382206458,1.20858018282814,1.12011608125325,296,1.20858018282814
"25","Minnesota",0.465700442848799,-0.00554029378177532,1.14397261184038,0.972985884856505,1.09679639452782,357,0.972985884856505
"26","Mississippi",0.396029503004735,-0.00487617321209355,1.1287828956115,0.962761161625499,0,0,0.962761161625499
"27","Missouri",0.623431061592056,-0.00780476438911282,1.22155844469184,0.931282166162748,1.28861483300997,295,0.931282166162748
"28","Montana",-0.0170974573642123,0.00632417002006385,2.6201375228754,1.72590866553481,0.970369926471087,11,1.72590866553481
"29","Nebraska",0.536375491928555,-0.00659442788551195,1.17310398422289,0.950726747118247,1.09457457430232,174,0.950726747118247
"30","Nevada",0.303699195662381,-0.00207824583120987,1.4165730356149,1.12607182641584,1.49312072859023,355,1.12607182641584
"31","New Hampshire",0.398731165874267,-0.00556761720233465,1.192647820897,0.907749549351414,1.01005323343464,36,0.907749549351414
"32","New Jersey",0.526886202107728,-0.0089741485503923,0.896009119331988,0.761996726773778,1.10444998103003,378,0.761996726773778
"33","New Mexico",0.515871402796332,-0.00684675959028663,1.15527708490575,0.9107469420293,1.41289192137602,130,0.9107469420293
"34","New York",0.279270871713281,-0.00515362812240693,0.951967763354596,0.83576982631537,1.15693702913544,796,0.83576982631537
"35","North Carolina",0.384124554309287,-0.00356167178335988,1.24821795720207,1.06944066156159,0,0,1.06944066156159
"36","North Dakota",0.409371225791127,-0.00470002554718024,1.27290986678764,0.991108715436292,1.09937843331105,33,0.991108715436292
