"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.507978251383266,-0.00734473291845543,1.29598426573586,1.05401302785765,1.31150412169671,447,1.05401302785765
"2","Alaska",0.277187789352603,-0.00243097458053028,2.26502960466432,1.13481241637678,1.35055739533249,4,1.13481241637678
"3","Arizona",0.629073280362377,-0.0108041347528589,1.18743739587356,0.960037364124268,1.19339352655178,429,0.960037364124268
"4","Arkansas",0.830398788540252,-0.0131997513340474,1.90786229733142,1.01208666629439,1.03482464162097,159,1.01208666629439
"5","California",0.420756375051497,-0.00612625681020083,1.21572120378611,1.04177756663091,1.17803551819259,2287,1.04177756663091
"6","Colorado",0.388467485285449,-0.00670676183783374,1.25178126532526,0.97301892322023,1.37961194035681,445,0.97301892322023
"7","Connecticut",0.691913228705613,-0.0146185209765077,1.01443697948866,0.806997206876412,0.693070431777519,355,0.806997206876412
"8","Delaware",0.670364274074333,-0.0128729505754305,1.13475855348462,0.880065747174575,0,0,0.880065747174575
"9","District of Columbia",0.294430340130075,-0.00396025681939126,1.26935594315851,1.05010947152258,0.504421022718091,73,1.05010947152258
"10","Florida",0.43980360720104,-0.00770198688970382,1.16462357906883,0.962982942747214,0.89994245722361,676,0.962982942747214
"11","Georgia",0.487968285917675,-0.00822779694570147,1.23465478153495,0.978088497582169,1.02131781855878,574,0.978088497582169
"12","Guam",-0.227780618974779,0.0160326737835266,5.49109901444531,2.15167187364901,0,0,2.15167187364901
"13","Hawaii",0.131940924301385,-0.00363274254218879,1.40777885764685,0.910930100201354,0.749462753364504,1,0.910930100201354
"14","Idaho",0.617436494585614,-0.0116962771576553,1.39964134088259,0.897867574064079,0,0,0.897867574064079
"15","Illinois",0.513789011976092,-0.00832568080794199,1.22535952833448,0.997599687252448,1.08939996206109,2359,0.997599687252448
"16","Indiana",0.663801193809992,-0.0126043365909775,1.05769650568016,0.888991437760077,0.922946875032081,492,0.888991437760077
"17","Iowa",0.563297497029648,-0.00862204719650898,1.20559175489226,1.0291472748383,1.14451858730678,410,1.0291472748383
"18","Kansas",0.6235343284441,-0.011327281226581,1.18738448122067,0.924264393976276,0.249844078562547,37,0.924264393976276
"19","Kentucky",0.751010896064551,-0.0142627369974796,1.36442723806986,0.875221048406342,0.985896695064903,144,0.875221048406342
"20","Louisiana",0.529128483066357,-0.00978366768746544,1.2877708512812,0.925465047682903,0,0,0.925465047682903
"21","Maine",0.208948012957086,8.68670376010583e-06,1.60197926216502,1.23304483813032,1.41953138794299,68,1.23304483813032
"22","Maryland",0.616067943418346,-0.0102526549604687,1.13007567469426,0.980594102330723,0.982959836809222,1071,0.980594102330723
"23","Massachusetts",0.727432276089282,-0.0155942457907913,0.941832265475111,0.787091350522156,0.704571640469418,750,0.787091350522156
"24","Michigan",0.533103348528283,-0.0111577261417694,1.03740722973924,0.853273054216798,0.828687329481137,473,0.853273054216798
"25","Minnesota",0.409023351766052,-0.00307365271368572,1.55033208870346,1.24415537186742,1.25700086888923,844,1.24415537186742
"26","Mississippi",0.410734782426097,-0.00564639384968612,1.25256995369363,1.06253585140454,1.47355779018249,380,1.06253585140454
"27","Missouri",0.828004135106771,-0.0173350366114105,1.05440652473958,0.781321833873241,0.861369227296077,130,0.781321833873241
"28","Montana",0.126185822760595,-0.00145534756354124,1.6811917285048,1.03660844526391,0,0,1.03660844526391
"29","Nebraska",0.570775432519724,-0.00778486797883358,1.45040265654927,1.09211219839975,1.11650431563255,301,1.09211219839975
"30","Nevada",0.460251011906583,-0.00891377647870539,1.23327244402815,0.911737526907858,0.00845761265891318,1,0.911737526907858
"31","New Hampshire",0.414799607729244,-0.00616207605503551,1.43216619120886,1.03329310592689,0.944880399796601,77,1.03329310592689
"32","New Jersey",0.682691255740309,-0.0157633624277638,0.902585529051367,0.744801741521873,0.45263924933762,561,0.744801741521873
"33","New Mexico",0.656274476426905,-0.0129595705073717,1.17342833190825,0.863105027335981,0,0,0.863105027335981
"34","New York",0.391694164384992,-0.00991095129082598,0.946062833399694,0.800287040017061,1.00011381058696,1772,0.800287040017061
"35","North Carolina",0.386507609589167,-0.00376592188929773,1.40975854508949,1.16534881294049,1.26521957351889,754,1.16534881294049
"36","North Dakota",0.371148537949675,-0.00267985969591015,1.7054953103867,1.22752167307459,0.634960561897219,48,1.22752167307459
"37","Ohio",0.542933290643215,-0.00908811362657165,1.15392502989877,0.97967954645555,1.11822165976769,614,0.97967954645555
"38","Oklahoma",0.578556384199694,-0.00988215573770858,1.22186998255661,0.966438830986614,1.08676559895314,111,0.966438830986614
"39","Oregon",0.318466722255862,-0.00639785348796907,1.14033842955151,0.924779272750735,0.507458423770373,24,0.924779272750735
"40","Pennsylvania",0.709959595187324,-0.0146249105057654,0.961456079208052,0.821367326417096,0.927361869592348,798,0.821367326417096
"41","Puerto Rico",0.640212605971367,-0.0104118405068476,1.37840945083647,0.994692628674234,0.979516189279906,70,0.994692628674234
"42","Rhode Island",0.460408242385271,0.00232881221835217,4.66826543888114,1.83087610816813,1.07216956134314,240,1.83087610816813
"43","South Carolina",0.474803367458178,-0.00754174789840248,1.30833785049683,1.00724108856417,1.55227731360093,257,1.00724108856417
"44","South Dakota",0.637436394855687,-0.00950040412738562,1.41982682824532,1.04960230886024,1.68731096106906,108,1.04960230886024
"45","Tennessee",0.342121617593877,-0.00425788927355567,1.45311739813466,1.08126589813512,1.16446709272531,391,1.08126589813512
"46","Texas",0.507545663939355,-0.0085694759134677,1.11710004842784,0.976518247019952,1.07991260213218,1237,0.976518247019952
"47","Utah",0.484224724208005,-0.00783444708540862,1.27735396500572,0.998490145891004,1.25192193823917,203,0.998490145891004
"48","Vermont",0.363323713953766,-0.00866289112871475,1.27491430405315,0.840485535209334,0.775832692471996,2,0.840485535209334
"49","Virginia",0.554613150502556,-0.00863305396021201,1.14970595757352,1.0195524994205,0.89146900877754,799,1.0195524994205
"50","Washington",0.119552692055914,-0.00279607072537339,1.12261971780021,0.947618112391282,0,0,0.947618112391282
"51","West Virginia",0.559083091596307,-0.00900034575384772,1.44093262471587,1.00106221861275,0,0,1.00106221861275
"52","Wisconsin",0.233446993480496,-0.000712522692202751,1.41564895161856,1.20836787636192,1.30036398939548,481,1.20836787636192
"53","Wyoming",0.373713619458222,-0.00501957199614133,2.13085020988767,1.06449462465696,0.821687026035603,10,1.06449462465696
