"","fips","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"1","01001",19.617755579559,4.71170345068653,0,0,0,0,1.35830738894249,1.62888530105036,3.4119619088316,2.89333805024901,0,0,0,0,0,5.67299398410543,3.43980089877184,2.58619217836454,0,0,3.30556028298111,0.756190345871665,1.41211604465269,0,0,0.776744835638178,1.72961468456422,1.81099748770549,1.73703479227312,NA,NA,NA
"2","01003",5.3593048205652,2.69871990544466,0,1.53357174155489,0,6.31072620603599,4.52394120856377,1.88113511758076,0.483209830265118,0.423472708440328,1.60596838985728,1.54609745663957,0.378465026810402,0,3.55446569538601,1.44310079450049,0.651675215704856,3.42124909956476,0.723481544029601,1.48445597959867,0.962286946231083,0.185337796898836,2.72065107626934,0.686407874357471,1.62082601760343,0.308271899402456,0.914722373329759,0.4679671985795,0.82653865258299,1.06038465695498,1.65116671626941,NA
"3","01005",9.50379865884122,0,0,2.83242606908575,0,2.39868300884941,9.00791854577554,0,0.934427497907382,0,0.812357174546331,0.854332743526066,1.81326226689775,0.926226406809061,2.65371670918521,1.5560405456083,1.35049550268805,3.39639068764122,0.470456350899431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","01007",5.3593048205652,0,2.07379171298768,0,0,1.78339607117151,3.5400054383723,1.56482038434684,1.33987087684844,0,2.2379536392061,2.03603801644417,2.64531281855158,0.752194633152651,0,0.684055977344848,2.73279818774865,1.29274047290826,1.2007677618851,1.11290143229055,2.03856977347906,0,0.933811766593254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","01009",9.50379865884122,7.64133496367432,2.07425218773497,0,0,0,0,1.91063772278947,6.04967684362824,1.63366508401838,0,0,0,0,1.68540444105762,1.99391944640627,0,2.18727217486502,1.98627658074956,3.30117525118906,1.32452256912515,1.11623849034386,1.94649032138394,0,0.875665528119305,0.896987290974898,3.51056963974756,2.28311151915686,NA,NA,NA,NA
"6","01011",0,3.45810439938785,0,0,0,0,0,0,0,0,0,0,32.5135346365349,0,6.35462034214673,0,0,2.99895406766939,6.92953635652246,0,0,0,1.37028877543688,0,3.25771978582175,0,0,NA,NA,NA,NA,NA
"7","01013",0,0,0,0,0,0,0,0,0,0,0,0,40.6838341098687,0,6.38671325301259,0,8.09554894630522,1.73146780823555,1.276793785444,0,1.02079049516076,1.9954131460397,4.42944366547951,0,0.654384550377221,0,0.662751789260242,1.44258113994862,NA,NA,NA,NA
"8","01015",9.50379865884122,0,0,0,2.96787517096382,0,0,12.2667249596553,1.49145454948611,2.04592453941387,0.790420206176659,3.82182252881401,1.52395892085415,0.860162103305668,3.96220173639183,1.99468871065461,1.82922328726695,0.771663318783102,0.177875670065967,0.537782672867661,0.387071917316953,0.44216825895904,0.263302267192866,0,0,0.560322969365194,2.15937107163991,3.81143263376355,5.34566412538282,1.24657036147299,0.646409361907733,NA
"9","01017",0,8.90531749049252,7.25626132747068,2.48117841619479,0,1.9665771334195,4.03158960658486,1.90098681090288,0.782918477514063,1.37125020481549,4.74365231082558,1.8942589183346,0.823104547500012,0.208883133168199,0.511046718972835,0.750205864991879,0.932494214840392,4.83658236472435,1.63506127743794,1.030379809203,1.15887049445729,0.866931302292993,0.241557613318942,0.318529557343254,0.711092743170519,0.409597451765673,0.386225815944301,0.573376586422801,1.58069441362672,0.28670089629275,1.65110466808401,NA
"10","01019",0,0,0,5.25744058045737,0,0,0,7.64483179363838,2.78398531316915,2.01305931733543,0,0,0,1.73303070560257,0,0,0,3.46037229205675,3.31843216579945,0,0,4.67562079701267,1.89886457215476,0,0,0,1.79263612678536,0,NA,NA,NA,NA
"11","01021",19.617755579559,4.71170345068653,1.33792433793579,0,2.55164457573106,0.759086693506406,1.42270305433567,0.683420897127006,0.680019010548915,0,0,3.52417772330291,0.876537911498155,0,3.9749422845723,0.681893194375985,2.34726964942017,0,1.46633000553907,0,1.00983495378156,1.07150341292154,0,1.2645421918458,1.33891129863241,1.35070337981153,0.663232881595685,1.29762700851418,NA,NA,NA,NA
"12","01023",0,0,0,5.25744058045737,3.96894916870393,2.84469980356561,0,0,0,2.15911980657445,0,2.51398345149906,0,0,0,5.74977331010761,4.51045669984304,0,2.68977554432634,0,1.05623840854057,0,1.13817935529824,0,4.02407409170181,1.23373338685225,3.11813357855896,NA,NA,NA,NA,NA
"13","01025",5.3593048205652,7.17278374541353,2.66606182896547,0.925807583368105,0.758199409720853,0,1.4433442254698,0.755704347183124,1.57737981457967,3.01557213398888,0,1.25906954977853,0,1.84939837884471,0,0,0,0,0,1.90582479653368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","01027",0,0,5.35623193094833,0,0,0,0,13.8076148388219,3.90090712175009,0,1.00647051554742,0,0,1.06334351869548,1.23026299485181,0,1.58269068312247,3.13342280766195,0,0,0,0,0,7.20907473692493,2.04209395072646,1.58272421464339,0,0,NA,NA,NA,NA
"15","01029",0,11.0886817491692,2.86173001875628,1.86253776518953,0,0,1.38031620179178,0,1.67039052705724,0,0,4.36731254939041,0,5.13686327339409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"16","01031",0,17.5388058105992,3.73113209819276,0,0.91970854299747,0,0,4.63943298928905,0.860573690823251,2.26987699179774,7.59789041024847,1.76484916526855,0,0.930654672193583,1.5220678112174,0.842778252718967,0.844021605031216,0.860461269613519,1.09855609075188,0.891824501704752,1.12448641291953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
