"","fips","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101"
"1","01001",19.617755579559,4.71170345068653,0,0,0,0,1.35830738894249,1.62888530105036,3.4119619088316,2.89333805024901,0,0,0,0,0,5.67299398410543,3.43980089877184,2.58619217836454,0,0,3.30556028298111,0.756190345871665,1.41211604465269,0,0,0.776744835638178,1.72961468456422,1.81099748770549,1.73703479227312,0.795383033399781,2.14789028109971,0,0.642969353715924,1.31220925451726,0.677926104977998,2.06583994432903,0.671335813303799,0,2.03282587706576,1.95244313693088,2.88294341129278,0,2.23494275288215,1.19448120923912,2.13146440200009,0.321862020356758,1.80816989193234,2.70836065623363,1.62646692975231,0.409556042192388,2.04974752420484,0,1.21048337444432,0,1.89380433228395,1.34771163533853,1.67601729540277,1.21044760009353,0.961851559378285,0.912265449752425,0.598273103905521,1.35822148385173,3.032430853286,0.392664700041343,1.56037893884695,0.778619519552778,0.432198879205328,0.555211779317144,1.40514984203316,0.736445146344656,0,0.291309857295812,1.15503626738665,1.97085590410921,1.08505738010302,1.22197705037771,1.62748690834753,1.90598838451461,2.16734495904947,1.20995845926405,0.789265116984911,2.33304103452438,0.572402791705534,0.237242177554993,0.164561484767302,2.19341210950701,0.988529048968656,1.76650587304823,0.254187838319404,0.670604349102241,0.936823414427504,2.21529785596173,0.740317987219062,0.800400816153822,0.399599442204742,1.93041240082951,0.714877123123523,1.18020634821295,NA,NA,NA
"2","01003",5.3593048205652,2.69871990544466,0,1.53357174155489,0,6.31072620603599,4.52394120856377,1.88113511758076,0.483209830265118,0.423472708440328,1.60596838985728,1.54609745663957,0.378465026810402,0,3.55446569538601,1.44310079450049,0.651675215704856,3.42124909956476,0.723481544029601,1.48445597959867,0.962286946231083,0.185337796898836,2.72065107626934,0.686407874357471,1.62082601760343,0.308271899402456,0.914722373329759,0.4679671985795,0.82653865258299,1.06038465695498,1.65116671626941,1.95412614863601,0.659918961199164,0,2.20330407690979,1.06428089775392,0.447917956860647,0.45723322667705,0,0.188273702058454,1.34371407963785,1.53917913420685,0.277899366090762,0.296929849701337,2.15028837162084,2.59928026595677,0.771868863842607,1.83550122416036,1.22637157911795,0.379808291406719,0.564617952996795,0.783384327833182,2.41568847659306,0.199200434387139,1.94627141300459,0,1.13040370143895,0.386721694201647,1.6118274881223,0,0.455597771510547,0.507464293809432,0.29054446331197,0,1.26408277709872,2.38915305926999,0,0.505371927537648,0.523630137562324,3.62576792217064,0.938223328281878,0,0,0.475853289665236,1.59951720517574,4.29513137190669,3.90157096039723,2.21831367440411,1.21066640106781,1.20543072062886,2.09274326930552,1.53196887532728,1.10237691141221,0.389310662795002,0.519557286340874,0.816295035315099,0.44174425582577,1.44650500676047,1.98665089307069,1.11332535216006,1.47614264932431,0.951894890092552,1.64018166824961,3.01925140148025,3.41858646471275,2.65270736612282,1.06114633015374,2.86921627268991,1.29763509367741,0.70513261637234,NA
"3","01005",9.50379865884122,0,0,2.83242606908575,0,2.39868300884941,9.00791854577554,0,0.934427497907382,0,0.812357174546331,0.854332743526066,1.81326226689775,0.926226406809061,2.65371670918521,1.5560405456083,1.35049550268805,3.39639068764122,0.470456350899431,0.425149951302144,0.826194355948571,0,0.479959802184596,1.10819219890662,1.25072713119407,0,1.47415483027889,2.20296013305306,0.691660317345531,1.30209121188672,0,1.28160827069916,0,2.81457881935049,1.35719166744994,3.01023165794341,0.512028650227734,0.916445841233006,2.48575987636018,0.746947278801265,1.71809401474065,1.56582578897464,0,0.590287890058328,1.22667485170812,1.57524314472019,1.84714251497637,0.867298920747898,1.34972107741857,0.257532927785974,1.27794535110866,0.773362340949209,2.30105195170194,1.8932810143639,0.430793054007705,2.90036338438175,0.510889643884539,2.57238937658554,0.669642699322435,0.377564556217969,0.254360676591667,0,0.971252369664215,1.31959169313179,0.634883188080422,0.913394980755339,0.478501268737547,2.17662571104765,1.38033965937461,1.48871431159167,0.978838963573567,1.45567630348415,0.518007812500263,1.18615666440676,1.00948065811962,1.97204986164239,0.472541660687867,0.92527891269347,0,0.838656365361427,0.55417335758323,4.52040888083084,0.994982937694372,0.726719766444196,0,0.682480064481852,0.439856177503776,0.167618292364364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","01007",5.3593048205652,0,2.07379171298768,0,0,1.78339607117151,3.5400054383723,1.56482038434684,1.33987087684844,0,2.2379536392061,2.03603801644417,2.64531281855158,0.752194633152651,0,0.684055977344848,2.73279818774865,1.29274047290826,1.2007677618851,1.11290143229055,2.03856977347906,0,0.933811766593254,0,0.537327602288981,0,2.90829441888058,2.88741394828943,0,0,0,0,0,1.20404833525803,0,2.18618370849786,0,2.52666477054122,0,2.23244952969171,2.01376293501552,0,0,0,0,7.61098696011371,2.0341525212656,0,0,1.37636943283255,1.36876452497468,0,4.18143498520489,3.46238098603187,0.905386796530223,0,4.64268542843317,2.59302476290531,0,0,0.398221862407702,1.29436302514198,0.477201142981243,0,0,0,0,1.44505270076907,0,4.51853456076423,9.80918299281892,3.68366536197538,2.32460810403868,1.67533490770715,1.01585814841007,1.1962769635112,1.11523075806355,1.33463056105406,0.521983324810015,0.790784545499712,1.34093542317162,0,0.299325304051965,0.673619352668827,2.22754610732553,4.82536254494715,1.10141451174733,1.77355870936508,0.189728218848312,0.538328132180166,0.910401148719766,0.769662965684747,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","01009",9.50379865884122,7.64133496367432,2.07425218773497,0,0,0,0,1.91063772278947,6.04967684362824,1.63366508401838,0,0,0,0,1.68540444105762,1.99391944640627,0,2.18727217486502,1.98627658074956,3.30117525118906,1.32452256912515,1.11623849034386,1.94649032138394,0,0.875665528119305,0.896987290974898,3.51056963974756,2.28311151915686,1.26970223001795,0,0,1.71448841264657,0,0,1.62421996507135,0.9029343792208,1.87675094439288,0.909012785423347,0,0,0,2.44751039179939,2.58205685220651,0,0,0,1.40670274358382,0,0,0,0,0,5.75984008558732,5.04272536148869,0,0,0,5.4586097144933,0,0,0,4.40622146593521,3.68758102213142,6.30812803633513,1.65422333750369,0.62256287017216,0.536578174363514,0.515056507920353,0,0,0,1.08508224418427,7.28668040460398,1.92782345674233,0.738095936065622,1.21419624481172,2.09020306219793,3.48723183509686,2.73331165963042,1.86375224064571,1.71482709771265,0.73206067136741,0.841554606306496,0.331771278539403,1.0362481796629,1.61748545998528,0.730394819212846,1.10048553713793,0.731593882737029,1.09896778795303,2.96741113485665,1.24261517054089,0.561270041500716,0.134955148891898,1.3681334058262,1.11863854446639,1.41276698318259,NA,NA,NA,NA
"6","01011",0,3.45810439938785,0,0,0,0,0,0,0,0,0,0,32.5135346365349,0,6.35462034214673,0,0,2.99895406766939,6.92953635652246,0,0,0,1.37028877543688,0,3.25771978582175,0,0,1.70285822119899,0,0,0,0,0,0,7.74698091566344,6.08223950019502,0,0,5.22442345471649,3.80395259920149,0,0,3.50660867595384,1.03349927001875,0.941255983496164,2.55247511018834,0,1.46542489969665,0,2.87701654042179,1.98361424057145,0,2.76399812826061,5.28088964148443,3.66975434340759,0.225029600424138,4.16954107258723,2.10306491150373,0.639885934843758,2.02626636515858,2.66876882894835,0.606690636497841,0.434859061317362,1.09103112364807,0.12410957340503,0.406042466454053,0,0.38245348035695,0.243167351696709,0.317808490501448,0.418353007192833,1.58252741761467,2.04572706579391,1.68260607353233,1.25396176952512,1.12085783140359,1.03179143595654,0.983733454689768,3.27929097503135,3.85835093014628,0.35201065997604,0.306780655390174,0.29545649141289,0.720353218897953,0,0.818116832986675,0,0.208004018704404,0,6.57577885955522,0,1.56676346386598,0,1.32720006447159,0,0.418211023277463,NA,NA,NA,NA,NA
"7","01013",0,0,0,0,0,0,0,0,0,0,0,0,40.6838341098687,0,6.38671325301259,0,8.09554894630522,1.73146780823555,1.276793785444,0,1.02079049516076,1.9954131460397,4.42944366547951,0,0.654384550377221,0,0.662751789260242,1.44258113994862,1.53171172339844,1.53153005331607,0,6.99814513259384,0.938083014192878,3.82747890788974,1.30889860429293,0.65117102680359,2.28552326747298,4.22889472571615,1.58376001546366,0.898969300632921,0.533068678628008,0.851783483825306,2.08279202259038,0.566413822543229,1.27181586047549,0.857310511398723,0.545265363890123,2.16702630624372,0.450826457988923,1.39712905183898,0.648362860386431,0.935534907374291,0.0742723316397548,1.03663752518323,0.860997477934867,1.54676043979241,0.558107957189506,1.03680681009384,0.572773235509447,0.884060602746193,1.50664853388794,2.05436421798805,1.00207135186703,0.0868206439467188,0.352494486182891,0.568400567932156,0.948998747439694,0.357654083703471,0.275038427939606,0.482407964235157,0.378573154591075,2.15402904329381,2.39003913019617,1.38108034228816,1.04968013422192,1.41391069419005,1.01079033029943,1.75211024415242,1.85105626202137,1.97034987468596,1.79760960508126,0.418783579401504,0.555912374717865,0.242491383376744,1.04314795322267,0.384073153181417,0.328026718528112,0.508187366532811,0.298679305896037,0.532051182573696,1.44217561782804,1.34093817122984,1.13172552366365,0.446674640179013,0.673280636232448,0.466090006035176,0,NA,NA,NA,NA
"8","01015",9.50379865884122,0,0,0,2.96787517096382,0,0,12.2667249596553,1.49145454948611,2.04592453941387,0.790420206176659,3.82182252881401,1.52395892085415,0.860162103305668,3.96220173639183,1.99468871065461,1.82922328726695,0.771663318783102,0.177875670065967,0.537782672867661,0.387071917316953,0.44216825895904,0.263302267192866,0,0,0.560322969365194,2.15937107163991,3.81143263376355,5.34566412538282,1.24657036147299,0.646409361907733,0.844113155869964,0.27011822571969,0,0.660683504698158,0,1.00927417363674,0.620063137781453,0.729468283237137,0,4.29267251802099,4.85758886268791,0,3.68836920671779,0,1.75183512534424,0.805582739562798,0.263344030724342,0,0.318733458340249,0.385162360630911,0.482950454019906,0.61052519535447,0.751043097497117,0.873405525828238,0,3.07672153598735,0,2.81852690505885,0,0.829363229363285,0.829207277653151,2.45901656961983,3.62345950540757,2.30653827765455,0.926709169859313,0,0.400138304009173,0.427207464144677,2.76382030084882,1.81400905311295,0.425643647350936,0,0.843503933503833,0.889965474719118,2.30632572467685,0.904263863941055,0.873423384832104,0.847344213634336,0.837252742699635,0.846421827304481,1.70750279280087,0.842875330454947,2.02526049682523,0.381781672877714,0.744736181943706,0.750405907397195,0.778297080549004,0,0.47542125690281,1.0956338390794,1.22583791433821,0.657223956082641,9.27641481857843,1.09371244489572,2.36394066024443,0,4.20850287767312,1.00190236923042,0.252708860604632,NA
"9","01017",0,8.90531749049252,7.25626132747068,2.48117841619479,0,1.9665771334195,4.03158960658486,1.90098681090288,0.782918477514063,1.37125020481549,4.74365231082558,1.8942589183346,0.823104547500012,0.208883133168199,0.511046718972835,0.750205864991879,0.932494214840392,4.83658236472435,1.63506127743794,1.030379809203,1.15887049445729,0.866931302292993,0.241557613318942,0.318529557343254,0.711092743170519,0.409597451765673,0.386225815944301,0.573376586422801,1.58069441362672,0.28670089629275,1.65110466808401,0.75076300743357,1.04222394341065,0,0.484853200401217,0.718845254735166,0.409861139144182,0.477087678177712,0.558796712086269,0,1.54517911689566,2.47200233520928,0.794457436879689,0.751796939595884,0.724910431835021,0.723886716950834,1.1130951320011,1.14265035156589,0.777953690659932,1.18263573850075,1.92309389911134,0,0.745424494342311,0,0.87484712595274,0,0.605385977231349,0,1.80889002094822,1.01432921470954,0,0,6.77221137903973,0.895268870765453,0.738836968859872,1.29286599581695,4.83500976543893,1.25777232513598,0.352586474312835,0.649817555101321,0.957539068524356,0,0.372742579956391,0.438160286719721,1.54948297734619,5.16484484942636,2.07442252694079,1.61214684152605,2.05495204081029,2.09030081940501,2.71578777867943,1.3885817439991,1.3050464113238,1.56995640221281,0.764113006414444,0.912885444394657,0.0919869622376173,1.44818813864881,0.608999525295232,0.964567991670751,0.564206009589809,0.834701031540489,0.75582260976357,1.94410427304976,1.26233938114416,0.244839354835856,0,3.0629599599978,0.61500700592131,0.600539092125173,NA
"10","01019",0,0,0,5.25744058045737,0,0,0,7.64483179363838,2.78398531316915,2.01305931733543,0,0,0,1.73303070560257,0,0,0,3.46037229205675,3.31843216579945,0,0,4.67562079701267,1.89886457215476,0,0,0,1.79263612678536,0,0,0,0,8.11728611736882,0,2.65345713615945,0,0,0,0,3.04309862134464,0,3.49126521655919,2.93415444623487,0,5.65416730543933,1.39330353074181,0,2.04561969646703,0,0,1.09156559063911,1.21069670185912,1.29749995586665,0,1.41228470514062,1.41613276881217,1.37281697629288,1.30113312152387,2.37414827941175,0,0,0,0,0,2.39146026421757,5.29908762590199,2.17079273198212,0,1.46580298855028,0,0,0,0,5.08242924093817,4.5872999081784,0,0,0,0,6.42203602331091,1.36055310486111,4.16988971378592,0,0,0,1.50424970512716,2.39549973846729,0,0,0,0,6.85911569356203,2.76898532710526,0.712778620286412,0.595913466914424,1.59912709648948,0.502056597219282,1.48307072065529,NA,NA,NA,NA
