"","state","b0","b1","ucb","curr.r","curr.emp.r","latest.cases","current.rt"
"1","Alabama",0.520804589672921,-0.00800042031290393,1.30361605024905,1.04998910845075,2.43153179944614,676,1.04998910845075
"2","Alaska",0.258375102093612,-0.00128657872777706,2.41585388510404,1.20017449311835,0.899220768199633,2,1.20017449311835
"3","Arizona",0.645222741987202,-0.0116411738307369,1.19597175398623,0.959247156622993,0.84094505762622,330,0.959247156622993
"4","Arkansas",0.90622044699194,-0.0176176883863088,1.63143228415732,0.875269738289095,0.6851672284323,77,0.875269738289095
"5","California",0.441198919805477,-0.00716084145601977,1.19661894263201,1.01888538897912,1.25723284569967,2245,1.01888538897912
"6","Colorado",0.417698839150099,-0.00814008879043887,1.21913024301948,0.939350688339996,0.926539448009283,313,0.939350688339996
"7","Connecticut",0.680627347392291,-0.014017220237402,1.09522171579874,0.863821916474379,0.999425965054606,603,0.863821916474379
"8","Delaware",0.650197583634277,-0.0119051088687854,1.22732228543639,0.949135375724811,0.896926880027866,159,0.949135375724811
"9","District of Columbia",0.296304418265596,-0.00407909701593226,1.27935861600452,1.05721457949916,0.875683835044053,117,1.05721457949916
"10","Florida",0.469829343833607,-0.00929073841816817,1.12144583283985,0.924664580562909,0.713992409115852,526,0.924664580562909
"11","Georgia",0.544941842667726,-0.0112068487183778,1.12479113785125,0.89024174306541,1.54189829296568,650,0.89024174306541
"12","Guam",0.106352803188316,-0.000709035499236174,2.78261037636644,1.06664660029095,0,0,1.06664660029095
"13","Hawaii",0.201275765204859,-0.00741843045421126,1.18220797759788,0.789455642156656,2.07407277141548,2,0.789455642156656
"14","Idaho",0.646196770328991,-0.0132956906116944,1.32923208013156,0.87088183628313,1.90823810203218,51,0.87088183628313
"15","Illinois",0.538586247410211,-0.00955197892103436,1.20728658486841,0.975328922046566,1.06628655815132,2385,0.975328922046566
"16","Indiana",0.686377847157746,-0.0137836901650497,1.05235473866204,0.880857096181554,1.08037245654549,569,0.880857096181554
"17","Iowa",0.59609802607363,-0.0102043458903637,1.1689524431283,0.994059334493378,0.929640883952093,321,0.994059334493378
"18","Kansas",0.643864447520535,-0.0123332646870851,1.1811869526255,0.919616844537014,1.04441188510921,154,0.919616844537014
"19","Kentucky",0.761263929149083,-0.0147762516944281,1.42895842931309,0.895355063108611,0.559964860100839,99,0.895355063108611
"20","Louisiana",0.572636673223332,-0.0122387153134177,1.16534835572011,0.861183622907898,0.727131706805423,278,0.861183622907898
"21","Maine",0.237793123727913,-0.001462339117341,1.53169050657222,1.16359589036508,2.01556666283848,77,1.16359589036508
"22","Maryland",0.625476308100273,-0.0107327705252698,1.15149577519762,0.992272856174733,0.771405591304436,777,0.992272856174733
"23","Massachusetts",0.73791705581591,-0.0161417114180458,0.974345378591863,0.806990068201875,0.860804753122466,1039,0.806990068201875
"24","Michigan",0.5333823885241,-0.0111720007155271,1.08277733292606,0.881821474178074,1.08094962016293,658,0.881821474178074
"25","Minnesota",0.404450622325941,-0.00284465491527523,1.5955661556612,1.2669544914262,0.968995573133376,644,1.2669544914262
"26","Mississippi",0.452092119031123,-0.00770624309390251,1.17680601409823,0.997427092106792,1.03733437275542,263,0.997427092106792
"27","Missouri",0.85332255462006,-0.0187377882076674,1.0588418496762,0.777083904199012,0.853615645964867,135,0.777083904199012
"28","Montana",0.0779825576240117,0.00132404285816487,1.86626396899877,1.16894436132634,4.27745979718886,7,1.16894436132634
"29","Nebraska",0.572781131896963,-0.00787528540341855,1.50156144913511,1.11420293535339,0.884058328052084,260,1.11420293535339
"30","Nevada",0.417585140543801,-0.00670971232021435,1.37833514339807,1.02194953679667,2.40978417122171,292,1.02194953679667
"31","New Hampshire",0.413530836208534,-0.0060971269929861,1.48763653256984,1.05527388895857,1.94112248200268,144,1.05527388895857
"32","New Jersey",0.677808064135593,-0.0155095060707168,0.964072872539558,0.788791860933043,1.13470281835752,1420,0.788791860933043
"33","New Mexico",0.617106309003518,-0.0110137783206908,1.32229823289666,0.967822465517301,1.61791468778926,221,0.967822465517301
"34","New York",0.426416737131765,-0.0117101291419286,0.910480281249178,0.767604323600979,0.746617182666909,1525,0.767604323600979
"35","North Carolina",0.43097977707413,-0.00601314562792207,1.27316932085303,1.07918290465266,1.92562914471795,1023,1.07918290465266
"36","North Dakota",0.388902643207406,-0.00357814715200571,1.68219565656442,1.19457677710974,1.71112271148708,101,1.19457677710974
"37","Ohio",0.578233870654924,-0.0108671241629571,1.11092127561952,0.939012530864265,0.91284328047101,484,0.939012530864265
"38","Oklahoma",0.630024947672973,-0.0126024836768666,1.13246958335882,0.892684923794302,0.408695607227297,43,0.892684923794302
"39","Oregon",0.291557459115168,-0.0050671004753137,1.23033061605788,0.992625854490106,1.37976323975428,75,0.992625854490106
"40","Pennsylvania",0.752332995537192,-0.0168731407166027,0.915128594318305,0.784128548818884,0.939481684601768,815,0.784128548818884
"41","Puerto Rico",0.659176732432314,-0.0113972106849668,1.39033620351274,0.986828811375031,0.87890729053744,61,0.986828811375031
"42","Rhode Island",0.438133129173504,0.00348368259682141,4.95507333225953,1.90345451744935,9.63248354520619,1011,1.90345451744935
"43","South Carolina",0.527920184170542,-0.0103082714807334,1.20101247798911,0.922869138295066,0.710410656774374,119,0.922869138295066
"44","South Dakota",0.704495559118778,-0.0128088448371695,1.2706398452919,0.9500636598405,1.45439507301112,92,0.9500636598405
"45","Tennessee",0.386287877585716,-0.00642463632230884,1.3780276633987,1.00726056558432,0,0,1.00726056558432
"46","Texas",0.506225843705972,-0.00850376429587524,1.15066154172061,1.00451390737515,0.895532002841255,1121,1.00451390737515
"47","Utah",0.508101293932434,-0.00906702168523285,1.25487428403781,0.973504350263449,1.26890336178189,192,0.973504350263449
"48","Vermont",0.472061958832807,-0.01470964071734,0.990112485130493,0.673136704117371,0,0,0.673136704117371
"49","Virginia",0.568301989709129,-0.00932276062061541,1.15210579173424,1.01842682993008,0.864590080742535,763,1.01842682993008
"50","Washington",0.0739077493991214,-0.000607231081955818,1.22301269085081,1.0388154935654,0.758092651964597,164,1.0388154935654
"51","West Virginia",0.604453238262439,-0.0114975928326771,1.32912648844663,0.928760164374248,3.35457526705155,65,0.928760164374248
"52","Wisconsin",0.259029673770164,-0.00197000697157345,1.36101093429334,1.15349822801272,1.57426981534789,528,1.15349822801272
"53","Wyoming",0.340373178383011,-0.00342862402481438,2.35424390442809,1.1480723986316,0.76961458823254,11,1.1480723986316
